Price,Beds,Baths,Living Space,City,Median Household Income,Zip Code Density
680000.0,3,3,2700,Staten Island,108942.0,4850.0
848000.0,2,2,1080,Staten Island,109945.0,4277.3
880000.0,5,2,2300,Staten Island,109945.0,4277.3
2500.0,3,1,1100,Staten Island,109945.0,4277.3
949000.0,3,3,1936,Staten Island,109945.0,4277.3
628000.0,3,2,1272,Staten Island,109945.0,4277.3
628000.0,3,2,1272,Staten Island,109945.0,4277.3
949000.0,3,3,1936,Staten Island,109945.0,4277.3
499999.0,2,2,1364,Staten Island,118424.0,2980.6
1150000.0,6,2,2554,Staten Island,118424.0,2980.6
399000.0,3,1,1280,Staten Island,118424.0,2980.6
247450.0,2,1,548,Staten Island,118424.0,2980.6
1245000.0,4,3,2388,Staten Island,118424.0,2980.6
765000.0,3,3,1170,Staten Island,118424.0,2980.6
949999.0,5,3,2184,Staten Island,118424.0,2980.6
599000.0,3,2,1480,Staten Island,118424.0,2980.6
949999.0,5,3,2184,Staten Island,118424.0,2980.6
765000.0,3,3,1170,Staten Island,118424.0,2980.6
575000.0,2,3,1500,Staten Island,118424.0,2980.6
798000.0,3,2,1750,Staten Island,118424.0,2980.6
765000.0,3,3,1040,Staten Island,118424.0,2980.6
599000.0,3,2,1480,Staten Island,118424.0,2980.6
939000.0,3,3,1754,Staten Island,145667.0,3548.0
939000.0,3,3,1754,Staten Island,145667.0,3548.0
989900.0,3,2,1975,Staten Island,145667.0,3548.0
879999.0,4,3,2630,Staten Island,144776.0,1907.2
739999.0,3,2,1008,Staten Island,144776.0,1907.2
785000.0,4,3,1500,Staten Island,144776.0,1907.2
799000.0,3,2,1600,Staten Island,144776.0,1907.2
849888.0,4,4,1800,Staten Island,144776.0,1907.2
2200.0,2,1,1100,Staten Island,144776.0,1907.2
649998.0,3,3,1480,Staten Island,144776.0,1907.2
859999.0,4,3,2630,Staten Island,144776.0,1907.2
1050000.0,4,4,3305,Staten Island,144776.0,1907.2
499999.0,2,1,1100,Staten Island,144776.0,1907.2
739999.0,3,2,1008,Staten Island,144776.0,1907.2
869000.0,4,2,2000,Staten Island,133355.0,3592.3
824888.0,3,2,2510,Staten Island,133355.0,3592.3
549999.0,2,2,1530,Staten Island,133355.0,3592.3
599000.0,2,2,1350,Staten Island,133355.0,3592.3
264900.0,1,1,717,Staten Island,133355.0,3592.3
688000.0,3,2,1280,Staten Island,133355.0,3592.3
1095000.0,5,2,2250,Staten Island,133355.0,3592.3
478000.0,4,3,1524,Staten Island,133355.0,3592.3
1195000.0,4,3,2450,Staten Island,133355.0,3592.3
725000.0,3,2,2068,Staten Island,133355.0,3592.3
330948.0,1,2,1059,Staten Island,133355.0,3592.3
699999.0,3,2,1440,Staten Island,133355.0,3592.3
899900.0,3,3,2242,Staten Island,133355.0,3592.3
499999.0,3,2,1510,Staten Island,133355.0,3592.3
725000.0,3,2,2068,Staten Island,133355.0,3592.3
264900.0,1,1,717,Staten Island,133355.0,3592.3
789000.0,3,3,1480,Staten Island,133355.0,3592.3
999312.0,4,4,2100,Staten Island,133355.0,3592.3
869000.0,4,3,2548,Staten Island,133355.0,3592.3
499999.0,3,2,1510,Staten Island,133355.0,3592.3
688888.0,3,2,2112,Staten Island,133355.0,3592.3
608000.0,2,3,2176,Staten Island,133355.0,3592.3
478000.0,4,3,1524,Staten Island,133355.0,3592.3
779000.0,4,2,1800,Bronx,155364.0,558.5
495000.0,2,2,684,Bronx,106860.0,4550.5
699999.0,3,3,1895,Bronx,106860.0,4550.5
299999.0,2,1,857,Bronx,106860.0,4550.5
789000.0,3,2,1100,Bronx,106860.0,4550.5
499000.0,2,2,1350,Bronx,100670.0,4422.5
255000.0,2,1,950,Bronx,100670.0,4422.5
159000.0,1,1,750,Bronx,100670.0,4422.5
750000.0,3,2,1697,Floral Park,179321.0,4695.3
349000.0,2,1,875,Little Neck,128688.0,3572.6
249000.0,1,1,700,Little Neck,128688.0,3572.6
1180000.0,3,3,1900,Little Neck,128688.0,3572.6
259000.0,1,1,650,Little Neck,128688.0,3572.6
1148000.0,4,2,1600,Little Neck,155429.0,3315.5
780000.0,3,2,1900,Little Neck,155429.0,3315.5
1020000.0,4,2,1701,Fresh Meadows,128237.0,3527.8
499000.0,2,2,1358,Rockaway Park,124327.0,4956.8
499000.0,4,2,1600,Philadelphia,92588.0,2182.8
195000.0,2,2,1498,Philadelphia,92588.0,2182.8
599900.0,4,3,2584,Philadelphia,92588.0,2182.8
315000.0,3,3,1540,Philadelphia,92588.0,2182.8
374900.0,3,2,1860,Philadelphia,92588.0,2182.8
231500.0,3,1,1368,Philadelphia,92588.0,2182.8
329000.0,3,2,1900,Philadelphia,92588.0,2182.8
319999.0,3,2,1488,Philadelphia,92588.0,2182.8
499900.0,4,2,2700,Philadelphia,92588.0,2182.8
275000.0,3,2,1215,Philadelphia,92588.0,2182.8
215000.0,2,2,1651,Philadelphia,92588.0,2182.8
364500.0,3,2,1806,Philadelphia,92588.0,2182.8
377999.0,4,3,1498,Philadelphia,92588.0,2182.8
214900.0,3,1,1596,Philadelphia,92588.0,2182.8
269900.0,2,2,1651,Philadelphia,92588.0,2182.8
349000.0,3,2,1178,Philadelphia,99941.0,2685.3
389900.0,5,3,1200,Philadelphia,99941.0,2685.3
499000.0,3,2,1596,Philadelphia,99941.0,2685.3
524900.0,3,3,2267,Philadelphia,99941.0,2685.3
462000.0,4,4,2157,Philadelphia,99941.0,2685.3
525000.0,3,3,1804,Philadelphia,99941.0,2685.3
425000.0,3,2,2082,Philadelphia,99941.0,2685.3
359900.0,3,3,1200,Philadelphia,99941.0,2685.3
349900.0,3,3,1720,Philadelphia,99941.0,2685.3
235000.0,2,2,1074,Philadelphia,86502.0,2482.7
529900.0,3,3,2032,Philadelphia,86502.0,2482.7
370000.0,3,3,1200,Philadelphia,86502.0,2482.7
375999.0,3,2,1224,Philadelphia,86502.0,2482.7
359800.0,3,2,1610,Philadelphia,86502.0,2482.7
429900.0,3,3,1656,Philadelphia,86502.0,2482.7
650000.0,3,2,1440,Philadelphia,173051.0,1294.2
800000.0,3,1,2584,Philadelphia,173051.0,1294.2
98500.0,3,1,1088,Philadelphia,120369.0,3313.6
659000.0,6,3,2915,Philadelphia,120369.0,3313.6
185000.0,3,1,1400,Philadelphia,120369.0,3313.6
250000.0,4,1,1580,Philadelphia,120369.0,3313.6
479000.0,4,3,3310,Philadelphia,120369.0,3313.6
399990.0,3,3,1684,Philadelphia,120369.0,3313.6
325000.0,3,2,1312,Philadelphia,120369.0,3313.6
335000.0,3,3,1600,Philadelphia,120369.0,3313.6
225000.0,3,2,1150,Philadelphia,120369.0,3313.6
385000.0,3,2,1660,Philadelphia,120369.0,3313.6
115000.0,4,1,1800,Philadelphia,120369.0,3313.6
265000.0,3,1,1440,Philadelphia,120369.0,3313.6
385000.0,3,2,1829,Philadelphia,120369.0,3313.6
469900.0,4,3,1835,Philadelphia,120369.0,3313.6
449900.0,4,4,1917,Philadelphia,120369.0,3313.6
209999.0,3,2,1108,Philadelphia,120369.0,3313.6
105000.0,3,1,1252,Philadelphia,120369.0,3313.6
314990.0,4,2,1530,Philadelphia,120369.0,3313.6
299000.0,2,2,1360,Philadelphia,140600.0,3735.5
450000.0,5,2,1970,Philadelphia,140600.0,3735.5
259900.0,3,1,1100,Philadelphia,140600.0,3735.5
380000.0,3,2,1694,Philadelphia,140600.0,3735.5
370000.0,3,2,1910,Philadelphia,140600.0,3735.5
314000.0,3,1,1200,Philadelphia,140600.0,3735.5
264900.0,2,1,1100,Philadelphia,107171.0,2147.0
299000.0,3,2,1536,Philadelphia,107171.0,2147.0
360000.0,3,2,1216,Philadelphia,107171.0,2147.0
659000.0,4,3,2400,Philadelphia,107171.0,2147.0
359000.0,3,1,1331,Philadelphia,107171.0,2147.0
450000.0,4,2,2250,Philadelphia,107171.0,2147.0
399000.0,3,3,1472,Philadelphia,107171.0,2147.0
310000.0,3,1,1148,Philadelphia,107171.0,2147.0
349900.0,3,2,1320,Philadelphia,107171.0,2147.0
299900.0,2,2,1556,Philadelphia,107171.0,2147.0
399900.0,3,2,1728,Philadelphia,107171.0,2147.0
339900.0,3,2,1680,Philadelphia,107171.0,2147.0
645000.0,4,4,3000,Philadelphia,107171.0,2147.0
250000.0,3,1,1344,Philadelphia,107171.0,2147.0
290000.0,4,3,1666,Philadelphia,107171.0,2147.0
419900.0,4,3,1800,Philadelphia,107171.0,2147.0
259900.0,3,1,1490,Philadelphia,107171.0,2147.0
329000.0,4,2,1980,Philadelphia,107171.0,2147.0
319000.0,2,2,1015,Philadelphia,107171.0,2147.0
139900.0,3,1,1180,Philadelphia,115650.0,2174.1
95000.0,3,1,1152,Philadelphia,115650.0,2174.1
300000.0,3,1,1120,Philadelphia,115650.0,2174.1
385000.0,3,2,1479,Philadelphia,115650.0,2174.1
354900.0,3,2,1120,Philadelphia,115650.0,2174.1
70000.0,3,1,914,Philadelphia,115650.0,2174.1
265000.0,4,2,1192,Philadelphia,115650.0,2174.1
199900.0,2,2,1054,Philadelphia,115650.0,2174.1
650000.0,3,3,2592,Philadelphia,115650.0,2174.1
325000.0,3,2,936,Philadelphia,115650.0,2174.1
98000.0,3,1,1080,Philadelphia,60575.0,3280.7
175000.0,4,2,1504,Philadelphia,60575.0,3280.7
219900.0,2,2,1251,Philadelphia,60575.0,3280.7
345000.0,3,3,1938,Philadelphia,60575.0,3280.7
179900.0,3,3,1388,Philadelphia,60575.0,3280.7
219900.0,3,2,1024,Philadelphia,60575.0,3280.7
324999.0,4,3,1574,Philadelphia,60575.0,3280.7
78995.0,3,1,1030,Philadelphia,60575.0,3280.7
85000.0,2,1,842,Philadelphia,60575.0,3280.7
285000.0,4,3,1079,Philadelphia,60575.0,3280.7
269900.0,3,2,1284,Philadelphia,60575.0,3280.7
385000.0,4,3,2596,Philadelphia,60575.0,3280.7
299000.0,4,2,1520,Philadelphia,60575.0,3280.7
98000.0,3,1,1080,Philadelphia,60575.0,3280.7
234900.0,5,4,1350,Philadelphia,60575.0,3280.7
269000.0,3,1,1152,Philadelphia,80802.0,2992.9
239900.0,3,2,1024,Philadelphia,80802.0,2992.9
215000.0,3,1,1126,Philadelphia,80802.0,2992.9
230000.0,3,2,1152,Philadelphia,80802.0,2992.9
180000.0,2,1,914,Philadelphia,80802.0,2992.9
179900.0,3,2,1179,Philadelphia,80802.0,2992.9
218000.0,3,1,1088,Philadelphia,80802.0,2992.9
79900.0,3,1,1248,Philadelphia,80802.0,2992.9
259900.0,3,2,1152,Philadelphia,80802.0,2992.9
275000.0,3,2,1152,Philadelphia,80802.0,2992.9
279999.0,3,2,1184,Philadelphia,80802.0,2992.9
190000.0,2,2,914,Philadelphia,80802.0,2992.9
185000.0,3,1,1088,Philadelphia,80802.0,2992.9
300000.0,4,2,1336,Philadelphia,80802.0,2992.9
249990.0,3,2,1728,Philadelphia,80802.0,2992.9
259900.0,3,2,1504,Philadelphia,80802.0,2992.9
255000.0,3,2,1352,Philadelphia,80802.0,2992.9
339000.0,5,3,1650,Philadelphia,80802.0,2992.9
135500.0,3,1,1190,Philadelphia,77072.0,1350.3
589900.0,4,4,3360,Philadelphia,77072.0,1350.3
135500.0,3,1,1190,Philadelphia,77072.0,1350.3
248900.0,3,2,1332,Philadelphia,77072.0,1350.3
269999.0,3,2,1368,Philadelphia,77072.0,1350.3
85000.0,4,1,1710,Philadelphia,61854.0,5041.4
385000.0,6,3,2859,Philadelphia,61854.0,5041.4
200000.0,4,2,1440,Philadelphia,61854.0,5041.4
349900.0,5,4,2730,Philadelphia,61854.0,5041.4
99900.0,5,1,1723,Philadelphia,61854.0,5041.4
429900.0,5,3,2974,Philadelphia,61854.0,5041.4
110000.0,3,1,1200,Philadelphia,61854.0,5041.4
99000.0,2,1,804,Philadelphia,61854.0,5041.4
154900.0,3,2,1654,Philadelphia,61854.0,5041.4
149900.0,3,3,1052,Philadelphia,61854.0,5041.4
154900.0,3,2,1654,Philadelphia,61854.0,5041.4
310000.0,3,1,1024,Philadelphia,61854.0,5041.4
312000.0,4,1,1350,Philadelphia,61854.0,5041.4
85000.0,4,1,1468,Philadelphia,61854.0,5041.4
250000.0,4,2,1451,Philadelphia,61854.0,5041.4
114900.0,3,1,1070,Philadelphia,61854.0,5041.4
249999.0,4,2,960,Philadelphia,61854.0,5041.4
165900.0,3,2,1226,Philadelphia,61854.0,5041.4
324900.0,3,2,1200,Philadelphia,88659.0,3631.1
359900.0,2,2,1024,Philadelphia,88659.0,3631.1
359000.0,4,2,1795,Philadelphia,88659.0,3631.1
145000.0,3,1,904,Philadelphia,88659.0,3631.1
270000.0,2,2,1062,Philadelphia,88659.0,3631.1
749900.0,3,3,2970,Philadelphia,88659.0,3631.1
239000.0,3,2,1350,Philadelphia,88659.0,3631.1
239900.0,2,3,1240,Philadelphia,88659.0,3631.1
299000.0,3,2,940,Philadelphia,88659.0,3631.1
220000.0,4,2,1356,Philadelphia,88659.0,3631.1
150000.0,2,1,934,Philadelphia,88659.0,3631.1
324900.0,3,2,1200,Philadelphia,88659.0,3631.1
549900.0,4,3,2253,Philadelphia,88659.0,3631.1
279900.0,2,3,1282,Philadelphia,88659.0,3631.1
360000.0,2,2,1466,Philadelphia,88659.0,3631.1
234000.0,2,1,971,Philadelphia,88659.0,3631.1
150000.0,2,1,956,Philadelphia,88659.0,3631.1
674900.0,4,3,2869,Philadelphia,88659.0,3631.1
749900.0,3,3,3150,Philadelphia,88659.0,3631.1
269900.0,3,1,948,Philadelphia,88659.0,3631.1
249900.0,2,1,880,Philadelphia,88659.0,3631.1
315000.0,4,2,1564,Philadelphia,88659.0,3631.1
335000.0,3,2,848,Philadelphia,88659.0,3631.1
215000.0,3,2,1448,Philadelphia,88659.0,3631.1
110000.0,3,1,988,Philadelphia,88659.0,3631.1
200000.0,3,1,1104,Philadelphia,88659.0,3631.1
309900.0,4,3,1535,Philadelphia,88659.0,3631.1
434900.0,3,3,1778,Philadelphia,88659.0,3631.1
225000.0,4,2,1444,Philadelphia,88659.0,3631.1
200000.0,3,2,1128,Philadelphia,88659.0,3631.1
374900.0,3,3,1700,Philadelphia,88659.0,3631.1
635000.0,3,4,2885,Philadelphia,88659.0,3631.1
189900.0,3,2,986,Philadelphia,88659.0,3631.1
160000.0,2,1,1176,Philadelphia,88659.0,3631.1
309000.0,3,2,942,Philadelphia,89150.0,4652.6
399000.0,2,3,1250,Philadelphia,89150.0,4652.6
399000.0,3,3,2100,Philadelphia,89150.0,4652.6
249000.0,3,2,968,Philadelphia,89150.0,4652.6
335000.0,3,2,1376,Philadelphia,89150.0,4652.6
139500.0,2,2,944,Philadelphia,89150.0,4652.6
289900.0,4,1,1520,Philadelphia,89150.0,4652.6
279900.0,2,1,756,Philadelphia,89150.0,4652.6
299000.0,3,2,1150,Philadelphia,89150.0,4652.6
599000.0,3,3,1500,Philadelphia,89150.0,4652.6
425000.0,3,4,1925,Philadelphia,89150.0,4652.6
289900.0,3,2,1032,Philadelphia,89150.0,4652.6
250000.0,2,1,848,Philadelphia,89150.0,4652.6
380000.0,2,2,1100,Philadelphia,89150.0,4652.6
315000.0,3,1,1272,Philadelphia,89150.0,4652.6
649900.0,4,3,1800,Philadelphia,89150.0,4652.6
449900.0,3,3,1986,Philadelphia,89150.0,4652.6
319000.0,3,2,1328,Philadelphia,89150.0,4652.6
220000.0,3,1,930,Philadelphia,89150.0,4652.6
219900.0,2,1,868,Philadelphia,89150.0,4652.6
149000.0,2,1,848,Philadelphia,89150.0,4652.6
699900.0,4,4,2400,Philadelphia,89150.0,4652.6
425000.0,3,3,1260,Philadelphia,89150.0,4652.6
449900.0,3,3,2034,Philadelphia,89150.0,4652.6
239999.0,3,2,1050,Philadelphia,89150.0,4652.6
219900.0,3,2,1054,Philadelphia,89150.0,4652.6
225000.0,3,2,1070,Philadelphia,89150.0,4652.6
239900.0,3,2,940,Philadelphia,89150.0,4652.6
289900.0,2,1,1000,Philadelphia,89150.0,4652.6
600000.0,4,3,2633,Philadelphia,89150.0,4652.6
259900.0,3,3,1320,Philadelphia,89150.0,4652.6
275000.0,3,1,1084,Philadelphia,89150.0,4652.6
314000.0,3,1,970,Philadelphia,89150.0,4652.6
612000.0,4,3,2552,Philadelphia,89150.0,4652.6
289900.0,2,2,687,Philadelphia,89150.0,4652.6
359000.0,4,3,1440,Philadelphia,82402.0,4759.9
280000.0,3,2,1107,Philadelphia,82402.0,4759.9
278900.0,3,2,1320,Philadelphia,82402.0,4759.9
348000.0,3,3,1552,Philadelphia,82402.0,4759.9
305000.0,3,2,1164,Philadelphia,82402.0,4759.9
399900.0,3,3,1552,Philadelphia,82402.0,4759.9
290000.0,3,3,1047,Philadelphia,82402.0,4759.9
135000.0,2,2,961,Philadelphia,82402.0,4759.9
350000.0,3,2,1995,Philadelphia,82402.0,4759.9
350000.0,3,2,1995,Philadelphia,82402.0,4759.9
350000.0,3,2,1120,Philadelphia,82402.0,4759.9
399900.0,3,3,1920,Philadelphia,82402.0,4759.9
360000.0,3,3,1104,Philadelphia,82402.0,4759.9
310000.0,3,2,1046,Philadelphia,82402.0,4759.9
299900.0,3,2,1128,Philadelphia,82402.0,4759.9
117000.0,1,1,712,Philadelphia,82402.0,4759.9
315000.0,3,2,1224,Philadelphia,82402.0,4759.9
439900.0,3,2,1836,Philadelphia,82402.0,4759.9
299900.0,2,2,1250,Philadelphia,58936.0,489.1
186500.0,3,2,1152,Philadelphia,58936.0,489.1
225000.0,3,1,1088,Philadelphia,58936.0,489.1
155000.0,3,1,960,Philadelphia,58936.0,489.1
195000.0,3,1,1056,Philadelphia,58936.0,489.1
340000.0,3,2,1296,Philadelphia,102138.0,2100.3
429900.0,3,2,1518,Philadelphia,102138.0,2100.3
289900.0,2,2,1600,Philadelphia,102138.0,2100.3
299900.0,3,2,1360,Philadelphia,102138.0,2100.3
349500.0,3,3,1384,Philadelphia,102138.0,2100.3
330000.0,3,2,1860,Philadelphia,102138.0,2100.3
330000.0,3,2,1860,Philadelphia,102138.0,2100.3
284000.0,2,2,900,Philadelphia,102138.0,2100.3
349900.0,3,2,1660,Philadelphia,102138.0,2100.3
284900.0,2,2,900,Philadelphia,102138.0,2100.3
310000.0,3,2,1332,Philadelphia,102138.0,2100.3
349900.0,3,3,1470,Philadelphia,102138.0,2100.3
369900.0,3,2,1332,Philadelphia,102138.0,2100.3
250000.0,3,2,1200,Philadelphia,102138.0,2100.3
294900.0,3,2,1528,Philadelphia,102138.0,2100.3
916000.0,2,3,1595,Washington,193521.0,3807.2
299900.0,1,1,670,Washington,193521.0,3807.2
471500.0,1,1,702,Washington,193521.0,3807.2
315000.0,1,1,790,Washington,193521.0,3807.2
499000.0,1,1,933,Washington,193521.0,3807.2
489000.0,1,1,714,Washington,193521.0,3807.2
495000.0,1,1,800,Washington,193521.0,3807.2
695000.0,2,2,1462,Washington,193521.0,3807.2
480000.0,1,1,780,Washington,193521.0,3807.2
449000.0,2,1,855,Washington,193521.0,3807.2
899000.0,4,2,2250,Washington,137295.0,4851.3
199900.0,1,1,716,Washington,137295.0,4851.3
625000.0,4,3,1588,Washington,137295.0,4851.3
600000.0,4,3,1365,Washington,137295.0,4851.3
1150000.0,4,4,2246,Washington,137295.0,4851.3
445000.0,2,2,911,Washington,137295.0,4851.3
519900.0,2,2,846,Washington,137295.0,4851.3
849900.0,4,4,2085,Washington,137295.0,4851.3
750000.0,3,1,1200,Washington,137295.0,4851.3
620000.0,3,3,1712,Washington,137295.0,4851.3
724900.0,2,3,1195,Washington,137295.0,4851.3
374900.0,3,2,1450,Washington,137295.0,4851.3
999900.0,4,4,2232,Washington,137295.0,4851.3
799900.0,3,4,1754,Washington,137295.0,4851.3
1125000.0,3,4,2200,Washington,137295.0,4851.3
999000.0,4,4,2106,Washington,137295.0,4851.3
935000.0,3,4,2200,Washington,137295.0,4851.3
889999.0,4,3,2048,Washington,137295.0,4851.3
1050000.0,4,4,1935,Washington,137295.0,4851.3
750000.0,4,4,1890,Washington,137295.0,4851.3
449900.0,2,2,782,Washington,137295.0,4851.3
819555.0,4,4,2048,Washington,137295.0,4851.3
345500.0,1,1,574,Washington,137295.0,4851.3
735000.0,5,3,1152,Washington,137295.0,4851.3
419900.0,1,1,620,Washington,137295.0,4851.3
825000.0,3,2,1296,Washington,137295.0,4851.3
345000.0,1,1,558,Washington,137295.0,4851.3
260000.0,1,1,596,Washington,137295.0,4851.3
549000.0,3,2,1452,Washington,137295.0,4851.3
699900.0,3,3,1568,Washington,137295.0,4851.3
1139000.0,4,4,2704,Washington,137295.0,4851.3
695000.0,3,4,1140,Washington,137295.0,4851.3
1199900.0,4,4,2560,Washington,137295.0,4851.3
524900.0,2,2,815,Washington,137295.0,4851.3
749900.0,3,4,1707,Washington,137295.0,4851.3
565000.0,3,2,1534,Washington,137295.0,4851.3
910000.0,7,4,2228,Washington,137295.0,4851.3
499000.0,2,2,1135,Washington,137295.0,4851.3
599000.0,2,2,964,Washington,137295.0,4851.3
850000.0,4,4,1890,Washington,137295.0,4851.3
660000.0,4,4,2226,Washington,137295.0,4851.3
875000.0,3,2,1750,Washington,137295.0,4851.3
925000.0,3,4,2200,Washington,137295.0,4851.3
1099000.0,4,4,2297,Washington,137295.0,4851.3
1050000.0,5,4,2613,Washington,137295.0,4851.3
945000.0,4,4,1950,Washington,137295.0,4851.3
539000.0,3,2,1734,Washington,137295.0,4851.3
395000.0,3,1,800,Washington,137295.0,4851.3
1179000.0,4,4,2486,Washington,137295.0,4851.3
699900.0,3,3,1832,Washington,137295.0,4851.3
499900.0,2,3,851,Washington,137295.0,4851.3
419900.0,1,1,620,Washington,137295.0,4851.3
394900.0,1,1,593,Washington,137295.0,4851.3
275000.0,1,1,589,Washington,137295.0,4851.3
424900.0,1,1,610,Washington,137295.0,4851.3
299900.0,1,1,552,Washington,137295.0,4851.3
610000.0,4,3,1500,Washington,137295.0,4851.3
495000.0,2,2,750,Washington,137295.0,4851.3
999888.0,4,4,2460,Washington,137295.0,4851.3
1045000.0,4,4,2180,Washington,137295.0,4851.3
345000.0,1,1,507,Washington,137295.0,4851.3
799900.0,3,3,1609,Washington,137295.0,4851.3
399900.0,2,1,668,Washington,137295.0,4851.3
449000.0,3,2,1312,Washington,137295.0,4851.3
755000.0,4,2,2596,Washington,137295.0,4851.3
474900.0,2,1,732,Washington,137295.0,4851.3
749990.0,3,2,2218,Washington,137295.0,4851.3
460000.0,3,2,1443,Washington,137295.0,4851.3
550000.0,3,3,1198,Washington,137295.0,4851.3
499500.0,4,3,1572,Washington,137295.0,4851.3
649900.0,3,4,1580,Washington,137295.0,4851.3
409900.0,1,1,641,Washington,148264.0,3280.5
439900.0,1,1,602,Washington,148264.0,3280.5
975000.0,3,3,2356,Washington,148264.0,3280.5
599950.0,3,2,1278,Washington,148264.0,3280.5
569900.0,1,1,825,Washington,148264.0,3280.5
995000.0,4,3,2997,Washington,148264.0,3280.5
524900.0,2,2,990,Washington,148264.0,3280.5
619900.0,2,2,1008,Washington,148264.0,3280.5
1125000.0,4,4,3024,Washington,148264.0,3280.5
649000.0,2,2,1680,Washington,148264.0,3280.5
850000.0,4,2,2858,Washington,148264.0,3280.5
699900.0,2,2,880,Washington,148264.0,3280.5
695000.0,3,2,1667,Washington,128320.0,3514.2
420000.0,4,4,2414,Washington,128320.0,3514.2
399000.0,2,1,945,Washington,128320.0,3514.2
675000.0,3,4,1638,Washington,128320.0,3514.2
479997.0,2,2,851,Washington,128320.0,3514.2
799900.0,3,3,1620,Washington,128320.0,3514.2
550000.0,2,2,1093,Washington,128320.0,3514.2
385000.0,2,2,1128,Washington,128320.0,3514.2
429900.0,2,2,879,Washington,128320.0,3514.2
645000.0,3,3,1850,Washington,128320.0,3514.2
1150000.0,4,3,2330,Washington,128320.0,3514.2
989999.0,3,2,1636,Washington,128320.0,3514.2
629900.0,4,4,1548,Washington,128320.0,3514.2
234999.0,1,1,502,Washington,128320.0,3514.2
499800.0,2,2,750,Washington,128320.0,3514.2
430000.0,2,2,870,Washington,128320.0,3514.2
450000.0,2,2,801,Washington,128320.0,3514.2
399000.0,2,2,780,Washington,117238.0,2569.3
709000.0,3,4,2772,Washington,117238.0,2569.3
506000.0,3,2,1496,Washington,117238.0,2569.3
550000.0,2,2,769,Washington,117238.0,2569.3
663000.0,3,3,2219,Washington,117238.0,2569.3
1200000.0,5,4,2771,Washington,117238.0,2569.3
450000.0,2,2,812,Washington,117238.0,2569.3
1199000.0,4,3,2570,Washington,117238.0,2569.3
785000.0,3,4,2249,Washington,117238.0,2569.3
499900.0,2,3,980,Washington,117238.0,2569.3
585000.0,3,4,1224,Washington,117238.0,2569.3
405000.0,3,1,1160,Washington,117238.0,2569.3
725000.0,3,4,1536,Washington,117238.0,2569.3
399900.0,2,1,826,Washington,117238.0,2569.3
600000.0,4,1,1726,Washington,117238.0,2569.3
689999.0,3,4,2236,Washington,117238.0,2569.3
835000.0,5,4,2085,Washington,117238.0,2569.3
499500.0,3,3,1920,Washington,117238.0,2569.3
550000.0,5,2,2275,Washington,117238.0,2569.3
464900.0,2,2,894,Washington,117238.0,2569.3
490000.0,3,2,1056,Washington,117238.0,2569.3
376700.0,2,1,1409,Washington,117238.0,2569.3
514900.0,2,2,769,Washington,117238.0,2569.3
625000.0,4,4,2176,Washington,117238.0,2569.3
160000.0,1,1,685,Washington,76897.0,4029.0
100000.0,1,1,517,Washington,76897.0,4029.0
419000.0,3,2,1584,Washington,76897.0,4029.0
450000.0,3,2,1554,Washington,76897.0,4029.0
209999.0,1,1,459,Washington,76897.0,4029.0
349999.97,2,1,825,Washington,76897.0,4029.0
545000.0,4,2,1717,Washington,76897.0,4029.0
